Chemical Name,Chemical ID,CAS RN,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
Sevoflurane,D000077149,,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CCR2|CXCL10|IL10|IL1B|IL6|TNF,17.60,7
caryophyllene,C024714,13877-93-5,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,17.57,5
caffeic acid phenethyl ester,C055494,104594-70-9,COVID-19,MESH:D000086382,,CCL2|CXCL8|FUT2|IL1B|IL2|IL6|MUC1|TNF,17.55,6
Wastewater,D062065,,COVID-19,MESH:D000086382,,CCL2|CCL3|IL1B|TNF,17.53,2
punarnavine,C526689,,COVID-19,MESH:D000086382,,IL1B|IL2|IL6|TNF,17.51,5
JTE 907,C422645,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,17.50,5
anemoside B4,C000620474,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.49,5
Graphite,D006108,7782-42-5,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL10|IL1B|IL2|IL6|TNF,17.49,5
trans-sodium crocetinate,C487773,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.49,5
Kalpaamruthaa,C510231,,COVID-19,MESH:D000086382,,CRP|IL1B|TNF,17.47,3
ODN2006,C000615642,,COVID-19,MESH:D000086382,,CCL2|IL10|IL6,17.46,5
Fatty Acids,D005227,,COVID-19,MESH:D000086382,,CCL2|CRP|IL10|IL6|TNF,17.45,5
Benzoic Acid,D019817,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL6|TNF,17.44,5
Poly A-U,D011063,24936-38-7,COVID-19,MESH:D000086382,,IL2|IL6|TNF,17.44,5
2-(4-isobutylphenyl)propionic acid 4-(diethoxyphosphoryloxy)butyl ester,C559491,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6,17.43,5
OXT-328,C553002,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6,17.43,5
pseurotin d,C000709578,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6,17.43,5
"S-(1,2-dichlorovinyl)cysteine",C039961,627-72-5,COVID-19,MESH:D000086382,,BCL11A|CCL2|CCL3|CCR2|CD209|CSF3|CXCL10|CXCL8|HCK|IL10|IL1B|IL2RA|IL6|IL7|OAS1|PLSCR1|SELE|TNF,17.42,9
Carbohydrates,D002241,,COVID-19,MESH:D000086382,,IL10|IL6|TNF,17.41,5
chebulic acid,C572649,,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,17.39,5
Polyurethanes,D011140,,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,17.39,5
Protein Kinase Inhibitors,D047428,,COVID-19,MESH:D000086382,,CCR2|CXCL10|CXCL8|IL10|IL1B|IL6|TNF,17.39,6
Quercetin,D011794,117-39-5,COVID-19,MESH:D000086382,,ACE2|AGT|BSG|CCL2|CCL3|CRP|CXCL10|CXCL8|IL10|IL10RB|IL1B|IL2|IL6|IL7|MUC1|OAS1|PLSCR1|SELE|TNF|TYK2|UGCG,17.38,26
Niacin,D009525,,COVID-19,MESH:D000086382,,AGT|CCL2|CRP|CXCL8|IL1B|IL6|TNF,17.37,6
Progesterone,D011374,57-83-0,COVID-19,MESH:D000086382,,AGT|BCL11A|BSG|BTK|CCL2|CCL3|CSF3|CXCL10|CXCL8|IFNAR2|IL10|IL1B|IL2|IL6|LZTFL1|MUC1|OAS1|SELE|TMPRSS2|TNF|UGCG,17.36,17
Talc,D013627,14807-96-6,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,17.36,5
Tetrahydropapaveroline,D013765,4747-99-3,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,17.36,5
Picryl Chloride,D010853,88-88-0,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,17.34,5
"2-(1,3-dimethyl-2,6-dioxo-1,2,3,6-tetrahydro-7H-purin-7-yl)-N-(4-isopropylphenyl)acetamide",C552888,,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,17.33,5
resolvin D1,C518399,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.33,5
Acetaldehyde,D000079,75-07-0,COVID-19,MESH:D000086382,,CCL2|CCR2|CXCL8|IL10|IL1B|IL6|TNF,17.32,6
"1-(6-((3-methoxyestra-1,3,5(10)-trien-17-yl)amino)hexyl)-1H-pyrrole-2,5-dione",C060229,112648-68-7,COVID-19,MESH:D000086382,,AGT|CXCL8|IL1B|IL6|TNF,17.30,6
"4,4'-bisphenol F",C008745,620-94-8,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL6|TNF,17.28,5
Silymarin,D012838,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL8|IL10|IL1B|IL6|TNF,17.26,5
Carbon Monoxide,D002248,630-08-0,COVID-19,MESH:D000086382,,AGT|CRP|IL10|IL1B|IL6|TNF,17.25,6
Metformin,D008687,657-24-9,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CCR2|CRP|CXCL8|IL10|IL1B|IL6|TMPRSS2|TNF,17.25,23
Phospholipids,D010743,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL10|TNF,17.24,1
KN 93,C072105,139298-40-1,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL2|IL6|TNF,17.23,5
Tosyllysine Chloromethyl Ketone,D014107,2104-86-1,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL2|TNF,17.22,2
Aerosols,D000336,,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL10|CXCL8|IL1B|IL6|TNF,17.21,5
Soot,D053260,,COVID-19,MESH:D000086382,,ACE2|ATP11A|BCL11A|BTK|CCL2|CCL3|CCR2|CRP|CSF3|CXCL10|CXCL8|FUT2|IL1B|IL2RA|IL6|IL7|MUC1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF,17.19,25
"2,2',4,4'-tetrabromodiphenyl ether",C511295,,COVID-19,MESH:D000086382,,ABO|ACE2|AGT|BTK|CCL2|CCL3|CCR2|CRP|CSF3|CXCL10|CXCL8|F8|FUT2|IL1B|IL2|IL6|OAS1|PLSCR1|SELE|TMEM106B|TNF,17.18,27
aurantio-obtusin,C000595611,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.17,5
cadmium nitrate,C035196,10325-94-7,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,17.17,5
decursin,C101278,5928-25-6,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.17,5
loganin,C059516,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.17,5
GW 501516,C425931,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|SELE|TNF,17.11,6
fasudil,C049347,103745-39-7,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,17.10,5
Gemcitabine,D000093542,,COVID-19,MESH:D000086382,,CCL2|CCL3|CSF3|CXCL8|IL10|IL1B|IL6|TNF,17.10,5
Polystyrenes,D011137,,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL6|TNF,17.06,5
Y 27632,C108830,138381-45-0,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL1B|IL6|TNF,17.06,6
efavirenz,C098320,154635-17-3,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|TNF,17.03,5
Particulate Matter,D052638,,COVID-19,MESH:D000086382,,ACE2|AGT|ATP11A|BCL11A|BSG|CCL2|CCL3|CCR2|CRP|CSF3|CXCL10|CXCL8|F8|ICAM5|IFNAR2|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|LZTFL1|MUC1|OAS1|SELE|TMEM106B|TMPRSS2|TMPRSS4|TNF|UGCG,17.03,30
Hypoxanthine,D019271,68-94-0,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,17.02,5
leonurine,C013587,24697-74-3,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.02,5
limonin,C001546,1180-71-8,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,17.02,5
monobutyl phthalate,C028577,131-70-4,COVID-19,MESH:D000086382,,CCL2|CRP|CXCL10|CXCL8|IL10|IL10RB|IL1B|IL6|TNF,17.02,6
"4-(6-bromo-1,3-benzodioxol-5-yl)-3a,4,5,9b-3H-cyclopenta(c)quinoline",C568862,,COVID-19,MESH:D000086382,,AGT|CXCL8|IL2|IL6|TNF,16.98,6
ibrutinib,C551803,,COVID-19,MESH:D000086382,,BTK|IL10|IL6|TNF,16.96,6
1-naphthaleneacetic acid,C034182,86-87-3,COVID-19,MESH:D000086382,,IL2|IL2RA|TNF,16.95,3
Ciprofloxacin,D002939,85721-33-1,COVID-19,MESH:D000086382,,CXCL8|IL10|IL1B|IL2|IL6|TMPRSS2|TNF,16.94,8
Rifampin,D012293,13292-46-1,COVID-19,MESH:D000086382,,ACE2|CCL2|CRP|CXCL10|IL10|IL1B|IL6|TMPRSS2|TNF,16.93,21
Ceruletide,D002108,,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,16.91,5
indium tin oxide,C109984,71243-84-0,COVID-19,MESH:D000086382,,CCL2|CCR2|IL6,16.91,6
Crotalid Venoms,D003435,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.89,5
polyhexamethyleneguanidine,C060540,31961-54-3,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL10|IL1B|IL2RA|IL6|TNF,16.87,6
tributyltin,C011559,688-73-3,COVID-19,MESH:D000086382,,ACE2|AGT|ATP11A|CCL2|CSF3|CXCL10|CXCL8|IFNAR2|IL10|IL1B|IL6|OAS1|TMPRSS4|TNF,16.86,24
Shiga Toxin 1,D022622,,COVID-19,MESH:D000086382,,AGT|CXCL8|TNF,16.82,3
euxanthone,C404221,529-61-3,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL6,16.80,5
fumigaclavine C,C492995,,COVID-19,MESH:D000086382,,IL1B|IL2|TNF,16.80,2
citronellol,C007078,106-22-9,COVID-19,MESH:D000086382,,CCL3|IL10|IL6|TNF,16.78,5
irosustat,C520511,,COVID-19,MESH:D000086382,,CCL2|CXCL8|TNF,16.78,2
N-bromotaurine,C052954,52316-57-1,COVID-19,MESH:D000086382,,IL10|IL6|TNF,16.77,5
N-chlorotaurine,C043410,51036-13-6,COVID-19,MESH:D000086382,,IL10|IL6|TNF,16.77,5
"2-cyano-3,12-dioxooleana-1,9(11)-dien-28-oic acid ethyl amide",C518860,,COVID-19,MESH:D000086382,,CCL2|IL10|IL6|TNF,16.76,5
2-methyl-5-HT,C045918,78263-90-8,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6,16.76,4
"2-(4-((dimethylamino)carbonyl)-3-fluorophenyl)-alpha,alpha-dimethyl-N-1,3,4-thiadiazol-2-yl-5H-(1)benzopyrano(2,3-b)pyridin-5-acetamide",C568959,,COVID-19,MESH:D000086382,,CXCL8|IL1B|TNF,16.75,3
"5-2-(4-((ethylmethylamino)carbonyl)-3-fluorophenyl)-alpha,alpha-dimethyl-N-1,3,4-thiadiazol-2-yl-5H-(1)benzopyrano(2,3-b)pyridin-5-acetamide",C568960,,COVID-19,MESH:D000086382,,CXCL8|IL1B|TNF,16.75,3
zinc nitrate,C042103,7779-88-6,COVID-19,MESH:D000086382,,CCL2|IL6|TNF,16.75,5
Aziridines,D001388,,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,16.74,5
ferulic acid,C004999,1135-24-6,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|IL7|TNF,16.74,5
gigantol,C478099,67884-30-4,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
Gur,C060188,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
Huangqin-Tang,C439205,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
Procaterol,D017265,72332-33-3,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
RSVA314,C570842,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
RSVA405,C570843,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
RU24782,C000589030,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
tetralin,C095210,119-64-2,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.71,5
"17-ethynyl-5-androstene-3, 7, 17-triol",C524733,,COVID-19,MESH:D000086382,,CCL2|CCR2|CRP|TNF,16.70,3
phenethyl isothiocyanate,C058305,2257-09-2,COVID-19,MESH:D000086382,,CCL2|CSF3|CXCL10|CXCL8|IL10|IL1B|IL6|TNF,16.69,5
Egtazic Acid,D004533,67-42-5,COVID-19,MESH:D000086382,,AGT|CXCL10|CXCL8|IL6|TNF,16.68,6
leptomycin B,C038753,87081-35-4,COVID-19,MESH:D000086382,,CCL2|CXCL10|CXCL8|IL1B|IL6,16.67,5
myricitrin,C008577,17912-87-7,COVID-19,MESH:D000086382,,CCL2|CRP|IL6|TNF,16.65,5
Peptides,D010455,,COVID-19,MESH:D000086382,,IL1B|IL2|IL6|TNF,16.63,5
"tocotrienol, delta",C082097,25612-59-3,COVID-19,MESH:D000086382,,CRP|IL10RB|IL1B|IL6|TNF,16.63,6
genipin,C007834,6902-77-8,COVID-19,MESH:D000086382,,CSF3|CXCL10|IL1B|IL6|TNF,16.62,5
garcinol,C054597,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,16.61,5
tryptanthrine,C046243,13220-57-0,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,16.61,5
GSK3235025,C000599896,,COVID-19,MESH:D000086382,,CXCL10|IL1B|IL2|IL7,16.60,2
nimesulide,C012655,51803-78-2,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|CXCL10|CXCL8|IL10|IL1B|IL6|SELE|TMEM106B|TMPRSS2|TNF,16.56,24
Probucol,D011341,23288-49-5,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|SELE|TNF,16.55,6
Penicillamine,D010396,52-67-5,COVID-19,MESH:D000086382,,ACE2|CCL3|CRP|IL10|IL1B|IL6|TNF,16.54,20
ferric citrate,C025314,3522-50-7,COVID-19,MESH:D000086382,,CCL2|CRP|CXCL8|TNF,16.53,3
"N'-(3,4-dihydroxybenzylidene)-3-hydroxy-2-naphthahydrazide",C511794,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL2|IL6,16.52,5
3-nitrofluoranthene,C033643,892-21-7,COVID-19,MESH:D000086382,,CXCL10|CXCL8|IL6|TNF,16.51,5
Alloxan,D000496,50-71-5,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,16.49,5
bergenin,C006741,477-90-7,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.49,5
Quinazolines,D011799,,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,16.48,5
Succimer,D004113,304-55-2,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CD209|CSF3|CXCL10|IFNAR2|IL1B|IL6|OAS1|TMPRSS4|TNF,16.48,10
tomentosin,C454646,,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,16.48,5
Oleic Acid,D019301,112-80-1,COVID-19,MESH:D000086382,,CRP|CXCL10|CXCL8|IL1B|IL6|TNF|UGCG,16.47,6
5-aminoisoquinolinone,C411425,,COVID-19,MESH:D000086382,,CCL3|CCR2|IL1B|TNF,16.43,3
Berberine,D001599,2086-83-1,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL2|IL6|TNF,16.42,5
Adenosine Triphosphate,D000255,56-65-5,COVID-19,MESH:D000086382,,AGT|CCL3|HCK|IL1B|IL6|OAS1|TNF,16.41,8
mono-benzyl phthalate,C103325,2528-16-7,COVID-19,MESH:D000086382,,CCL2|CRP|CXCL10|IL6|TNF,16.40,5
Apigenin,D047310,520-36-5,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL6|SELE|TNF,16.38,6
Hydrogen Sulfide,D006862,7783-06-4,COVID-19,MESH:D000086382,,AGT|CCL2|IL10|IL1B|IL2|IL6|TNF,16.38,6
gadolinium chloride,C038958,10138-52-0,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,16.37,5
gardiquimod,C546771,,COVID-19,MESH:D000086382,,CCR2|CXCL10|CXCL8|IL10|IL6|TNF,16.37,6
meclocycline,C100122,2013-58-3,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8,16.37,2
morroniside,C488401,,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6|TNF,16.37,5
Nitric Oxide,D009569,10102-43-9,COVID-19,MESH:D000086382,,AGT|CXCL10|CXCL8|IL10|IL1B|IL6|SELE|TNF,16.37,7
picolinic acid,C030614,98-98-6,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL6|TNF,16.37,5
Coumarins,D003374,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.36,5
Ethylene Chlorohydrin,D005023,107-07-3,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.36,5
Acetylmuramyl-Alanyl-Isoglutamine,D000119,53678-77-6,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,16.35,5
Ziram,D015039,137-30-4,COVID-19,MESH:D000086382,,CCL2|CCR2|CD209|IL1B|IL6|TNF,16.34,7
Iohexol,D007472,66108-95-0,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL1B|TNF,16.33,4
Nelfinavir,D019888,159989-64-7,COVID-19,MESH:D000086382,,CCL2|CCL3|IL1B|IL6|TNF,16.32,5
phillygenin,C542294,,COVID-19,MESH:D000086382,,IL1B|SELE|TNF,16.32,3
Coal Ash,D060729,,COVID-19,MESH:D000086382,,CCL2|CRP|CXCL8|IL1B|IL6|TNF,16.30,5
5-(N-methyl-N-isobutyl)amiloride,C056369,96861-65-3,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B,16.28,3
Albendazole,D015766,54965-21-8,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL10|TNF,16.28,2
bafilomycin A1,C040929,88899-55-2,COVID-19,MESH:D000086382,,AGT|CXCL10|IL1B|IL6|TNF,16.27,6
Enalapril,D004656,75847-73-3,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL1B|IL6|SELE|TNF,16.27,7
Ketotifen,D007665,34580-13-7,COVID-19,MESH:D000086382,,IL1B|IL6|SELE|TNF,16.27,6
cadmium selenide,C058667,1306-24-7,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL6,16.26,5
Nitrofurazone,D009583,59-87-0,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL2|TNF,16.26,3
phosphoaspirin,C527365,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6,16.26,5
Sodium Chloride,D012965,,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL1B|IL6|TNF,16.26,6
1-propyl-8-(4-sulfophenyl)xanthine,C518874,,COVID-19,MESH:D000086382,,IL10|IL1B|TNF,16.25,3
PF 3845,C557973,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6,16.25,5
"butane-2,3-dione thiosemicarbazone oxime",C578612,,COVID-19,MESH:D000086382,,IL10|IL6|TNF,16.24,5
fucoidan,C007789,9072-19-9,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.24,5
gamma-sitosterol,C025473,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.24,5
sulfoxaflor,C560328,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.24,5
astressin-2B,C528574,,COVID-19,MESH:D000086382,,CCL2|IL6|TNF,16.23,5
Chromium,D002857,7440-47-3,COVID-19,MESH:D000086382,,AGT|CXCL8|IL10|IL1B|IL6|TNF|UGCG,16.23,7
Clonidine,D003000,4205-90-7,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL2|TNF,16.23,3
fenugreek seed meal,C056164,68990-15-8,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,16.23,5
STF 083010,C556690,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,16.23,5
Biflavonoids,D044946,,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,16.22,5
2-Acetylaminofluorene,D015073,53-96-3,COVID-19,MESH:D000086382,,CCL2|CXCL10|IL10|IL1B|IL2RA|IL6|MUC1|TNF,16.21,6
"15-keto-5,8,11,13-eicosatetraenoic acid",C054992,81416-72-0,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
"3,5-dibromo-4-(3,4-dimethoxyphenyl)-1H-pyrrole-2-carboxylic acid ethyl ester",C521391,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
ambrisentan,C467894,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
bis(3-hydroxyphenyl) diselenide,C541028,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
cynatratoside-C,C000596149,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
lancemaside A,C533150,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
maytenonic acid,C001687,33600-93-0,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
spantide II,C065446,129176-97-2,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
T 614,C077313,123663-49-0,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
titanium alloy (TiAl6V4),C031462,12743-70-3,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,16.19,5
beryllium sulfate,C020711,13510-49-1,COVID-19,MESH:D000086382,,CCL3|IL10|IL2|IL6|TNF,16.18,5
beta-Glucans,D047071,,COVID-19,MESH:D000086382,,CCL2|IL10|IL6|TNF,16.14,5
Cyclic AMP,D000242,60-92-4,COVID-19,MESH:D000086382,,CCL3|CRP|CSF3|CXCL8|IL1B|IL6|TNF,16.14,5
"Oils, Volatile",D009822,,COVID-19,MESH:D000086382,,IL10|IL1B|IL2|IL6|MUC1|PLSCR1|TNF,16.14,6
2-Aminopurine,D015075,452-06-2,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL6|TNF,16.13,5
4-methylene-2-octyl-5-oxofuran-3-carboxylic acid,C406734,,COVID-19,MESH:D000086382,,IL10|IL1B|IL6|TNF,16.12,5
trimethyltin,C046488,1631-73-8,COVID-19,MESH:D000086382,,CCL2|CCL3|IL10|IL6|TNF,16.12,5
nonylphenol,C025256,25154-52-3,COVID-19,MESH:D000086382,,AGT|CCL2|CCL3|CXCL10|IL10|IL1B|IL6|TMEM106B|TNF,16.11,7
Wortmannin,D000077191,19545-26-7,COVID-19,MESH:D000086382,,AGT|CCL2|CRP|CXCL8|IL1B|IL6|TNF,16.08,6
"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",C517232,,COVID-19,MESH:D000086382,,ABO|BCL11A|CXCL8|IL1B|IL6|PLSCR1|TNF,16.06,7
Acyclovir,D000212,59277-89-3,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8|IL1B|TNF,16.06,3
Dichloroacetic Acid,D003999,79-43-6,COVID-19,MESH:D000086382,,ATP11A|BCL11A|CCL2|CCL3|CXCL8|IL10|IL2|IL2RA|IL6|SELE|TNF,16.05,6
rhein,C020491,478-43-3,COVID-19,MESH:D000086382,,IL10|IL2|IL6|TNF,16.04,5
Antimony Sodium Gluconate,D000967,,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|TNF,16.02,3
alpha-naphthoflavone,C011512,604-59-1,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL10|IL1B|IL6|TNF,16.01,5
diacerein,C025292,,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,16.00,5
Allergens,D000485,,COVID-19,MESH:D000086382,,CCL3|CXCL8|IFNAR2|IL10|MUC1|TYK2,15.98,4
NCP-2454,C000601996,,COVID-19,MESH:D000086382,,ACE2|AGT|IL6,15.98,20
Polychlorinated Biphenyls,D011078,,COVID-19,MESH:D000086382,,CCL2|CCL3|IL10|IL1B|IL2|IL6|PLSCR1|TNF|TYK2|UGCG,15.97,8
Serotonin,D012701,50-67-9,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL1B|IL6|TNF,15.95,6
coralyne,C000666,6872-73-7,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8,15.94,2
methylbenzethonium chloride,C005106,,COVID-19,MESH:D000086382,,CCL2|CCL3|CXCL8,15.94,2
andrographolide,C030419,5508-58-7,COVID-19,MESH:D000086382,,CCL2|CXCL8|IL1B|IL6|PLSCR1|TNF,15.92,6
helenalin,C001329,6754-13-8,COVID-19,MESH:D000086382,,CXCL8|IL10|IL6|TNF,15.91,5
Phosphatidic Acids,D010712,,COVID-19,MESH:D000086382,,AGT|IL1B|IL6|TNF,15.91,6
Lactulose,D007792,4618-18-2,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,15.89,5
Glutathione,D005978,70-18-8,COVID-19,MESH:D000086382,,AGT|CCL2|CXCL8|IL10|IL1B|IL6|SELE|TNF,15.85,7
"15-Hydroxy-11 alpha,9 alpha-(epoxymethano)prosta-5,13-dienoic Acid",D019796,76898-47-0,COVID-19,MESH:D000086382,,CCL2|CCR2|IL6|TNF,15.84,6
proadrenomedullin (9-20),C108283,,COVID-19,MESH:D000086382,,CCL2|CXCL8|TNF,15.82,2
1-(2-(1-adamantyl)ethyl)-1-pentyl-3-(3-(4-pyridyl)propyl)urea,C530925,,COVID-19,MESH:D000086382,,IL10|IL1B|TNF,15.81,3
Adenylate Cyclase Toxin,D037361,,COVID-19,MESH:D000086382,,IL10|IL6|TNF,15.81,5
capmatinib,C000613976,,COVID-19,MESH:D000086382,,IL10|IL1B|TNF,15.81,3
CGP 57380,C466997,,COVID-19,MESH:D000086382,,IL10|IL6|TNF,15.81,5
Zidovudine,D015215,30516-87-1,COVID-19,MESH:D000086382,,CCL2|IL10|IL1B|IL2|IL2RA|IL6|OAS1|PLSCR1|TNF,15.81,7
n-dodecane,C007548,112-40-3,COVID-19,MESH:D000086382,,CXCL8|IL6|TNF,15.79,5
nickel hydroxide,C037473,12054-48-7,COVID-19,MESH:D000086382,,CCL2|IL6|TNF,15.79,5
RU.521,C000626046,,COVID-19,MESH:D000086382,,CCL2|IL1B|TNF,15.79,2
embelin,C010945,550-24-3,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,15.78,5
Glyoxal,D006037,107-22-2,COVID-19,MESH:D000086382,,CXCL8|IL1B|IL6|TNF,15.78,5
mephedrone,C548233,,COVID-19,MESH:D000086382,,CCL2|IL1B|IL6|TNF,15.78,5
Irbesartan,D000077405,138402-11-6,COVID-19,MESH:D000086382,,ACE2|AGT|CCL2|IL6|TNF,15.77,21
fargesin,C539377,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,15.76,5
Histamine H3 Antagonists,D054828,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,15.76,5
"N-acetylglucosaminono-1,5-lactone O-(phenylcarbamoyl)oxime",C068836,132489-69-1,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,15.76,5
phlorofucofuroeckol A,C064093,128129-56-6,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,15.76,5
rhodojaponin II,C000656713,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,15.76,5
Sugars,D000073893,,COVID-19,MESH:D000086382,,IL1B|IL6|TNF,15.76,5
