Phenotype Term Name,Phenotype Term ID,Disease Name,Disease ID,Chemical Inference Network,Gene Inference Network,References
regulation of DNA-templated transcription,GO:0006355,COVID-19,MESH:D000086382,Dactinomycin|Sirolimus,,2
cholesterol efflux,GO:0033344,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate,,12
negative regulation of endothelial cell migration,GO:0010596,COVID-19,MESH:D000086382,Lopinavir|Ritonavir,,5
"CD4-positive, alpha-beta T cell differentiation involved in immune response",GO:0002294,COVID-19,MESH:D000086382,2019-nCoV Vaccine mRNA-1273|BNT162 Vaccine,,1
acetylcholine metabolic process,GO:0008291,COVID-19,MESH:D000086382,Choline|Zinc,,5
zinc ion homeostasis,GO:0055069,COVID-19,MESH:D000086382,Sirolimus|Zinc,,22
positive regulation of systemic arterial blood pressure,GO:0003084,COVID-19,MESH:D000086382,Losartan|Nifedipine,,4
xanthine oxidase activity,GO:0004855,COVID-19,MESH:D000086382,Tenofovir|Zinc,,4
translation,GO:0006412,COVID-19,MESH:D000086382,camostat|chloroquine diphosphate,,9
G2/M transition of mitotic cell cycle,GO:0000086,COVID-19,MESH:D000086382,Melatonin|Zinc,,6
mitophagy,GO:0000423,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,8
positive regulation of vasoconstriction,GO:0045907,COVID-19,MESH:D000086382,Losartan|Nifedipine,,7
carboxylic acid metabolic process,GO:0019752,COVID-19,MESH:D000086382,Ribavirin|Zinc,,10
urea metabolic process,GO:0019627,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,5
"mitochondrial electron transport, succinate to ubiquinone",GO:0006121,COVID-19,MESH:D000086382,Tenofovir|Zinc,,5
positive regulation of interferon-alpha production,GO:0032727,COVID-19,MESH:D000086382,Chloroquine|chloroquine diphosphate,,12
positive regulation of catalase activity,GO:1902553,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,5
iron ion homeostasis,GO:0055072,COVID-19,MESH:D000086382,Chloroquine|Zinc,,9
"CD8-positive, alpha-beta T cell differentiation involved in immune response",GO:0002302,COVID-19,MESH:D000086382,2019-nCoV Vaccine mRNA-1273|BNT162 Vaccine,,1
pyruvate metabolic process,GO:0006090,COVID-19,MESH:D000086382,Ivermectin|Zinc,,6
DNA methylation on cytosine within a CG sequence,GO:0010424,COVID-19,MESH:D000086382,Choline|Zinc Sulfate,,4
grooming behavior,GO:0007625,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
cellular respiration,GO:0045333,COVID-19,MESH:D000086382,Melatonin|Sirolimus,,6
amino acid metabolic process,GO:0006520,COVID-19,MESH:D000086382,Ribavirin|Zinc,,10
monoatomic ion homeostasis,GO:0050801,COVID-19,MESH:D000086382,Chloroquine|Zinc,,9
histone H3-K9 trimethylation,GO:0036124,COVID-19,MESH:D000086382,Melatonin|Zinc,,6
P-type sodium:potassium-exchanging transporter activity,GO:0005391,COVID-19,MESH:D000086382,Zinc|Zinc Sulfate,,5
regulation of cardiac muscle cell contraction,GO:0086004,COVID-19,MESH:D000086382,Chloroquine|Nifedipine,,7
melatonin metabolic process,GO:0030186,COVID-19,MESH:D000086382,Emodin|Melatonin,,4
cell migration,GO:0016477,COVID-19,MESH:D000086382,Betulinic Acid|Sirolimus,,5
phospholipid biosynthetic process,GO:0008654,COVID-19,MESH:D000086382,Nifedipine|Zinc,,5
hexose metabolic process,GO:0019318,COVID-19,MESH:D000086382,Zinc|Zinc Sulfate,,4
lactate metabolic process,GO:0006089,COVID-19,MESH:D000086382,Tenofovir|Zinc,,5
glycogen biosynthetic process,GO:0005978,COVID-19,MESH:D000086382,Choline|Sirolimus,,4
negative regulation of cellular pH reduction,GO:0032848,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
positive regulation of ATP biosynthetic process,GO:2001171,COVID-19,MESH:D000086382,Ivermectin|Sirolimus,,5
"wound healing, spreading of cells",GO:0044319,COVID-19,MESH:D000086382,Melatonin|Sirolimus,,5
dendritic cell migration,GO:0036336,COVID-19,MESH:D000086382,Chloroquine|Melatonin,,9
swimming behavior,GO:0036269,COVID-19,MESH:D000086382,Chloroquine|Ivermectin,,9
cytokine production involved in inflammatory response,GO:0002534,COVID-19,MESH:D000086382,camostat|Zinc,,7
N-acetylneuraminate metabolic process,GO:0006054,COVID-19,MESH:D000086382,Zinc|Zinc Sulfate,,4
hatching,GO:0035188,COVID-19,MESH:D000086382,Sirolimus|Zinc,,5
positive regulation of cholesterol import,GO:1904109,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
reactive nitrogen species metabolic process,GO:2001057,COVID-19,MESH:D000086382,Melatonin|Tenofovir,,5
cellular nitric oxide homeostasis,GO:0033484,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
electron transport chain,GO:0022900,COVID-19,MESH:D000086382,Melatonin|Nifedipine,,5
fucose metabolic process,GO:0006004,COVID-19,MESH:D000086382,Zinc|Zinc Sulfate,,4
positive regulation of inclusion body assembly,GO:0090261,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
cellular response to unfolded protein,GO:0034620,COVID-19,MESH:D000086382,Dactinomycin|Sirolimus,,3
negative regulation of glycogen (starch) synthase activity,GO:2000466,COVID-19,MESH:D000086382,Tenofovir|Zinc,,4
establishment of protein localization to plasma membrane,GO:0061951,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
"DNA catabolic process, endonucleolytic",GO:0000737,COVID-19,MESH:D000086382,Chloroquine|Emodin,,8
regulation of cell size,GO:0008361,COVID-19,MESH:D000086382,Melatonin|Sirolimus,,6
B cell homeostasis,GO:0001782,COVID-19,MESH:D000086382,apilimod|perfluorobutyric acid,,5
stress granule assembly,GO:0034063,COVID-19,MESH:D000086382,Chloroquine|Dactinomycin,,8
negative regulation of organ growth,GO:0046621,COVID-19,MESH:D000086382,Choline|Tenofovir,,4
melanin biosynthetic process,GO:0042438,COVID-19,MESH:D000086382,Emodin|Zinc,,5
cell-abiotic substrate adhesion,GO:0036164,COVID-19,MESH:D000086382,Betulinic Acid|Chloroquine,,8
dopamine metabolic process,GO:0042417,COVID-19,MESH:D000086382,Chloroquine|Zinc,,9
positive regulation of chronic inflammatory response,GO:0002678,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
nitric oxide metabolic process,GO:0046209,COVID-19,MESH:D000086382,Losartan|Melatonin,,5
multicellular organism aging,GO:0010259,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
dendritic cell homeostasis,GO:0036145,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|perfluorobutyric acid,,4
membrane organization,GO:0061024,COVID-19,MESH:D000086382,Chloroquine|Choline,,8
negative regulation of viral translation,GO:1904972,COVID-19,MESH:D000086382,"(2-(2',3'-dihydrobenzo(1,4)dioxin-6'-yl)-2-hydroxy-1-pyrrolidin-1-ylmethylethyl)nonanoic acid amide|Ivermectin",,4
regulation of membrane potential,GO:0042391,COVID-19,MESH:D000086382,Melatonin|Nifedipine,,7
zinc ion import across plasma membrane,GO:0071578,COVID-19,MESH:D000086382,Zinc|Zinc Sulfate,,4
carbonate dehydratase activity,GO:0004089,COVID-19,MESH:D000086382,Acetazolamide|Ivermectin,,5
vesicle organization,GO:0016050,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,,12
positive regulation of protein targeting to vacuole involved in autophagy,GO:1904053,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
cellular component organization,GO:0016043,COVID-19,MESH:D000086382,Dactinomycin|Sirolimus,,2
stress-induced premature senescence,GO:0090400,COVID-19,MESH:D000086382,Hydroxychloroquine|Sirolimus,,7
positive regulation of lysosomal membrane permeability,GO:0097214,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,,11
negative regulation of cardiac muscle contraction,GO:0055118,COVID-19,MESH:D000086382,Melatonin|Nifedipine,,5
positive regulation of neutrophil extravasation,GO:2000391,COVID-19,MESH:D000086382,Emodin|Melatonin,,4
response to hormone,GO:0009725,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
arginase activity,GO:0004053,COVID-19,MESH:D000086382,Zinc|Zinc Sulfate,,4
amino acid transport,GO:0006865,COVID-19,MESH:D000086382,Choline|Dactinomycin,,3
negative regulation of neuronal action potential,GO:1904456,COVID-19,MESH:D000086382,Ivermectin|Mefloquine,,6
carnitine transmembrane transport,GO:1902603,COVID-19,MESH:D000086382,Lopinavir|Ritonavir,,5
adenosine deaminase activity,GO:0004000,COVID-19,MESH:D000086382,Tenofovir|Zinc,,4
ATP biosynthetic process,GO:0006754,COVID-19,MESH:D000086382,Melatonin|Zinc,,6
autophagic cell death,GO:0048102,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,9
G0 to G1 transition,GO:0045023,COVID-19,MESH:D000086382,cepharanthine|Chloroquine,,8
negative regulation of RNA biosynthetic process,GO:1902679,COVID-19,MESH:D000086382,Dactinomycin|Ribavirin,,8
positive regulation of cholesterol storage,GO:0010886,COVID-19,MESH:D000086382,Choline|Sirolimus,,4
regulation of cytokine production involved in immune response,GO:0002718,COVID-19,MESH:D000086382,Chloroquine|Ribavirin,,13
positive stranded viral RNA replication,GO:0039690,COVID-19,MESH:D000086382,Hydroxychloroquine|Interferon-alpha,,9
response to inorganic substance,GO:0010035,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
mitochondrial DNA replication,GO:0006264,COVID-19,MESH:D000086382,Melatonin|Sirolimus,,7
positive regulation of mitochondrial calcium ion concentration,GO:0051561,COVID-19,MESH:D000086382,Ivermectin|Sirolimus,,5
lymphocyte homeostasis,GO:0002260,COVID-19,MESH:D000086382,Active Hexose Correlated Compound|Zinc,,5
glucose import across plasma membrane,GO:0098708,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,8
positive regulation of cytolysis,GO:0045919,COVID-19,MESH:D000086382,Ivermectin|Sirolimus,,5
autophagosome organization,GO:1905037,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,8
DNA methylation,GO:0006306,COVID-19,MESH:D000086382,Choline|Zinc,,4
negative regulation of oxidoreductase activity,GO:0051354,COVID-19,MESH:D000086382,Ribavirin|Tenofovir,,8
chloride transmembrane transport,GO:1902476,COVID-19,MESH:D000086382,Ivermectin|selamectin,,5
metabolic process,GO:0008152,COVID-19,MESH:D000086382,Choline|perfluorobutyric acid,,4
Golgi organization,GO:0007030,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,,10
adult walking behavior,GO:0007628,COVID-19,MESH:D000086382,Melatonin|Zinc Sulfate,,4
positive regulation of protein ubiquitination,GO:0031398,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
protein ubiquitination,GO:0016567,COVID-19,MESH:D000086382,Dactinomycin|Sirolimus,,4
fat cell differentiation,GO:0045444,COVID-19,MESH:D000086382,Chloroquine|perfluorobutyric acid,,8
calcium ion homeostasis,GO:0055074,COVID-19,MESH:D000086382,Ivermectin|Nifedipine,,6
endolysosome,GO:0036019,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,,10
transepithelial transport,GO:0070633,COVID-19,MESH:D000086382,Melatonin|Sirolimus,,4
urate biosynthetic process,GO:0034418,COVID-19,MESH:D000086382,Melatonin|Tenofovir,,6
autolysosome,GO:0044754,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,11
bile acid secretion,GO:0032782,COVID-19,MESH:D000086382,Emodin|Lopinavir,,7
peptidase activator activity involved in apoptotic process,GO:0016505,COVID-19,MESH:D000086382,Betulinic Acid|Melatonin,,5
positive regulation of cysteine-type endopeptidase activity involved in execution phase of apoptosis,GO:2001272,COVID-19,MESH:D000086382,Betulinic Acid|Melatonin,,5
ubiquinol-cytochrome-c reductase activity,GO:0008121,COVID-19,MESH:D000086382,Chloroquine|Sirolimus,,7
glycolytic process,GO:0006096,COVID-19,MESH:D000086382,Dactinomycin|Sirolimus,,4
endosome organization,GO:0007032,COVID-19,MESH:D000086382,Chloroquine|Hydroxychloroquine,,10
immune response,GO:0006955,COVID-19,MESH:D000086382,Zinc,CCL2|CCL3|CCR2|CSF3|CXCL10|IL10|IL10RB|IL1B|IL2|IL2RA|IL6|IL7|PLSCR1|TNF|TYK2,10
negative regulation of apoptotic process,GO:0043066,COVID-19,MESH:D000086382,Melatonin,ABO|HCK|IL10|IL2|IL6|IL7|TNF,10
response to xenobiotic stimulus,GO:0009410,COVID-19,MESH:D000086382,Ivermectin,CCL2|CCL3|IL10|IL1B|IL6|TNF,8
positive regulation of inflammatory response,GO:0050729,COVID-19,MESH:D000086382,Sirolimus,AGT|CCL3|CCR2|IL1B|IL2|TNF,6
positive regulation of receptor signaling pathway via JAK-STAT,GO:0046427,COVID-19,MESH:D000086382,Ivermectin,IL10|IL10RB|IL6|TNF|TYK2,10
intracellular signal transduction,GO:0035556,COVID-19,MESH:D000086382,Zinc,BTK|CD209|CXCL8|HCK|TYK2,8
positive regulation of ERK1 and ERK2 cascade,GO:0070374,COVID-19,MESH:D000086382,Chloroquine,CCL2|CCL3|IL1B|IL6|TNF,11
positive regulation of interleukin-6 production,GO:0032755,COVID-19,MESH:D000086382,Losartan,BSG|BTK|IL1B|IL6|TNF,9
angiogenesis,GO:0001525,COVID-19,MESH:D000086382,Chloroquine,BSG|CCL2|CCR2|CXCL8,10
positive regulation of DNA-binding transcription factor activity,GO:0051091,COVID-19,MESH:D000086382,Melatonin,IL10|IL1B|IL6|TNF,8
negative regulation of viral genome replication,GO:0045071,COVID-19,MESH:D000086382,Ivermectin,OAS1|PLSCR1|TNF,6
positive regulation of neuron apoptotic process,GO:0043525,COVID-19,MESH:D000086382,Zinc,CCL3|IL1B|TNF,5
lysosome,GO:0005764,COVID-19,MESH:D000086382,Chloroquine,HCK|IL1B|TMEM106B,9
adaptive immune response,GO:0002250,COVID-19,MESH:D000086382,Chloroquine,BTK|CD209|IL2,9
positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043123,COVID-19,MESH:D000086382,Zinc,AGT|IL1B|TNF,6
neutrophil activation,GO:0042119,COVID-19,MESH:D000086382,Teicoplanin,CXCL8|IL1B|IL2,5
negative regulation of inflammatory response,GO:0050728,COVID-19,MESH:D000086382,Chloroquine,IL10|IL2|IL2RA,9
I-kappaB kinase/NF-kappaB signaling,GO:0007249,COVID-19,MESH:D000086382,Zinc,BTK|IL1B|TNF,6
negative regulation of interleukin-6 production,GO:0032715,COVID-19,MESH:D000086382,Chloroquine,IL10|TNF,8
lipid metabolic process,GO:0006629,COVID-19,MESH:D000086382,Choline,FUT2|UGCG,6
positive regulation of interleukin-2 production,GO:0032743,COVID-19,MESH:D000086382,Ribavirin,CCR2|IL1B,9
positive regulation of angiogenesis,GO:0045766,COVID-19,MESH:D000086382,Sirolimus,CXCL8|IL1B,4
embryo implantation,GO:0007566,COVID-19,MESH:D000086382,Sirolimus,BSG|IL1B,4
organ growth,GO:0035265,COVID-19,MESH:D000086382,Choline,AGT|IL7,4
positive regulation of organ growth,GO:0046622,COVID-19,MESH:D000086382,Choline,AGT|IL7,4
blood vessel remodeling,GO:0001974,COVID-19,MESH:D000086382,Zinc,AGT|CCR2,5
carbohydrate metabolic process,GO:0005975,COVID-19,MESH:D000086382,Ribavirin,ABO|FUT2,9
positive regulation of JNK cascade,GO:0046330,COVID-19,MESH:D000086382,Zinc,IL1B|TNF,5
phagocytosis,GO:0006909,COVID-19,MESH:D000086382,Zinc Sulfate,HCK|ICAM5,4
MAPK cascade,GO:0000165,COVID-19,MESH:D000086382,Sirolimus,AGT|CCL3,4
positive regulation of osteoclast differentiation,GO:0045672,COVID-19,MESH:D000086382,Chloroquine,CCL3|TNF,7
negative regulation of phagocytosis,GO:0050765,COVID-19,MESH:D000086382,Melatonin,PLSCR1,4
response to angiotensin,GO:1990776,COVID-19,MESH:D000086382,Losartan,AGT,3
regulation of NIK/NF-kappaB signaling,GO:1901222,COVID-19,MESH:D000086382,Hydroxychloroquine,IL1B,7
glycolipid metabolic process,GO:0006664,COVID-19,MESH:D000086382,Choline,FUT2,3
cellular response to hydrogen peroxide,GO:0070301,COVID-19,MESH:D000086382,Melatonin,IL6,7
positive regulation of microglial cell activation,GO:1903980,COVID-19,MESH:D000086382,Melatonin,CCL3,4
developmental process,GO:0032502,COVID-19,MESH:D000086382,Melatonin,TYK2,4
negative regulation of G1/S transition of mitotic cell cycle,GO:2000134,COVID-19,MESH:D000086382,Chloroquine,CCL2,7
positive regulation of multicellular organism growth,GO:0040018,COVID-19,MESH:D000086382,Choline,AGT,3
negative regulation of interferon-alpha production,GO:0032687,COVID-19,MESH:D000086382,chloroquine diphosphate,IL10,8
osteoclast differentiation,GO:0030316,COVID-19,MESH:D000086382,Sirolimus,TNF,3
positive regulation of cellular respiration,GO:1901857,COVID-19,MESH:D000086382,Sirolimus,IL10RB,3
positive regulation of humoral immune response mediated by circulating immunoglobulin,GO:0002925,COVID-19,MESH:D000086382,BNT162 Vaccine,TNF,3
mitochondrion localization,GO:0051646,COVID-19,MESH:D000086382,Melatonin,BSG,4
positive regulation of phagocytosis,GO:0050766,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,BTK,3
negative regulation of bone resorption,GO:0045779,COVID-19,MESH:D000086382,Betulinic Acid,IL6,6
positive regulation of vascular associated smooth muscle cell migration,GO:1904754,COVID-19,MESH:D000086382,Losartan,AGT,3
positive regulation of collagen biosynthetic process,GO:0032967,COVID-19,MESH:D000086382,Sirolimus,CCL2,3
neuron projection development,GO:0031175,COVID-19,MESH:D000086382,Melatonin,IL6,7
determination of adult lifespan,GO:0008340,COVID-19,MESH:D000086382,Sirolimus,BTK,3
cellular response to L-glutamate,GO:1905232,COVID-19,MESH:D000086382,Ivermectin,BCL11A,4
negative regulation of cell growth,GO:0030308,COVID-19,MESH:D000086382,Chloroquine,AGT,7
microglial cell activation,GO:0001774,COVID-19,MESH:D000086382,Zinc,TNF,4
maintenance of blood-brain barrier,GO:0035633,COVID-19,MESH:D000086382,Melatonin,IL6,7
leukocyte degranulation,GO:0043299,COVID-19,MESH:D000086382,Nifedipine,HCK,3
positive regulation of osteoblast differentiation,GO:0045669,COVID-19,MESH:D000086382,Sirolimus,IL6,6
T cell activation,GO:0042110,COVID-19,MESH:D000086382,Hydroxychloroquine,IL6,10
negative regulation of glucose import,GO:0046325,COVID-19,MESH:D000086382,Sirolimus,TNF,3
positive regulation of cellular metabolic process,GO:0031325,COVID-19,MESH:D000086382,perfluorobutyric acid,TNF,3
positive regulation of T-helper 17 type immune response,GO:2000318,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,TYK2,3
positive regulation of innate immune response,GO:0045089,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,PLSCR1,3
T cell activation involved in immune response,GO:0002286,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,CD209,3
macrophage migration,GO:1905517,COVID-19,MESH:D000086382,Losartan,CCR2,3
positive regulation of release of sequestered calcium ion into cytosol,GO:0051281,COVID-19,MESH:D000086382,Nifedipine,CXCL10,3
cellular response to reactive oxygen species,GO:0034614,COVID-19,MESH:D000086382,Melatonin,BTK,4
flagellated sperm motility,GO:0030317,COVID-19,MESH:D000086382,Melatonin,LZTFL1,5
negative regulation of catalytic activity,GO:0043086,COVID-19,MESH:D000086382,Acetazolamide,IL7,3
negative regulation of tumor necrosis factor production,GO:0032720,COVID-19,MESH:D000086382,Chloroquine,IL10,8
negative regulation of systemic arterial blood pressure,GO:0003085,COVID-19,MESH:D000086382,Nifedipine,TNF,3
positive regulation of translation,GO:0045727,COVID-19,MESH:D000086382,Sirolimus,IL6,6
negative regulation of alkaline phosphatase activity,GO:0010693,COVID-19,MESH:D000086382,Tenofovir,TNF,3
positive regulation of T-helper 1 type immune response,GO:0002827,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,CCR2,3
positive regulation of calcium-mediated signaling,GO:0050850,COVID-19,MESH:D000086382,Ivermectin,CCL3,4
learning or memory,GO:0007611,COVID-19,MESH:D000086382,Zinc,IL1B,4
sensitization,GO:0046960,COVID-19,MESH:D000086382,Nifedipine,BTK,3
positive regulation of lipid catabolic process,GO:0050996,COVID-19,MESH:D000086382,Choline,IL1B,3
monocyte homeostasis,GO:0035702,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,CCL2,3
negative regulation of interleukin-10 production,GO:0032693,COVID-19,MESH:D000086382,Losartan,BTK,3
S-adenosylmethionine biosynthetic process,GO:0006556,COVID-19,MESH:D000086382,Choline,,2
iron ion import across plasma membrane,GO:0098711,COVID-19,MESH:D000086382,Zinc,,3
sodium ion import across plasma membrane,GO:0098719,COVID-19,MESH:D000086382,Nifedipine,,2
maintenance of cell number,GO:0098727,COVID-19,MESH:D000086382,Tenofovir,,2
intracellular transport of viral protein in host cell,GO:0019060,COVID-19,MESH:D000086382,Ivermectin,,3
release from viral latency,GO:0019046,COVID-19,MESH:D000086382,Chloroquine,,6
vacuolar acidification,GO:0007035,COVID-19,MESH:D000086382,Chloroquine,,6
actin filament organization,GO:0007015,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of neuron death,GO:1901216,COVID-19,MESH:D000086382,Zinc,,3
"circadian sleep/wake cycle, sleep",GO:0050802,COVID-19,MESH:D000086382,Melatonin,,3
zinc ion transmembrane transport,GO:0071577,COVID-19,MESH:D000086382,Zinc,,4
regulation of calcium-mediated signaling,GO:0050848,COVID-19,MESH:D000086382,Sofosbuvir,,3
negative regulation of calcium-mediated signaling,GO:0050849,COVID-19,MESH:D000086382,Nifedipine,,2
insulin metabolic process,GO:1901142,COVID-19,MESH:D000086382,Zinc,,3
cellular response to fluid shear stress,GO:0071498,COVID-19,MESH:D000086382,Sirolimus,,2
cellular response to gamma radiation,GO:0071480,COVID-19,MESH:D000086382,Melatonin,,3
regulation of body fluid levels,GO:0050878,COVID-19,MESH:D000086382,Tenofovir,,2
embryonic morphogenesis,GO:0048598,COVID-19,MESH:D000086382,Ribavirin,,7
phosphatidylinositol 5-phosphate biosynthetic process,GO:1904563,COVID-19,MESH:D000086382,apilimod,,3
axon extension,GO:0048675,COVID-19,MESH:D000086382,Melatonin,,3
positive regulation of intracellular estrogen receptor signaling pathway,GO:0033148,COVID-19,MESH:D000086382,Melatonin,,3
telomere maintenance,GO:0000723,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of autophagosome maturation,GO:1901098,COVID-19,MESH:D000086382,Chloroquine,,9
negative regulation of autophagosome maturation,GO:1901097,COVID-19,MESH:D000086382,Sirolimus,,3
positive regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway,GO:1901030,COVID-19,MESH:D000086382,Dactinomycin,,2
regulation of skeletal muscle fiber development,GO:0048742,COVID-19,MESH:D000086382,Sirolimus,,2
swim bladder inflation,GO:0048798,COVID-19,MESH:D000086382,perfluorobutyric acid,,2
glycogen catabolic process,GO:0005980,COVID-19,MESH:D000086382,Nifedipine,,2
stem cell fate specification,GO:0048866,COVID-19,MESH:D000086382,Melatonin,,3
host-mediated regulation of intestinal microbiota composition,GO:0048874,COVID-19,MESH:D000086382,Ivermectin,,3
DNA synthesis involved in mitotic DNA replication,GO:1904860,COVID-19,MESH:D000086382,Lopinavir,,5
cellular response to electrical stimulus,GO:0071257,COVID-19,MESH:D000086382,Ivermectin,,3
negative regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,GO:1904878,COVID-19,MESH:D000086382,Nifedipine,,3
"DNA-binding transcription factor activity, RNA polymerase II-specific",GO:0000981,COVID-19,MESH:D000086382,Hydroxychloroquine,,6
stress fiber assembly,GO:0043149,COVID-19,MESH:D000086382,cannabidiolic acid,,2
cellular response to zinc ion,GO:0071294,COVID-19,MESH:D000086382,Zinc,,3
cell morphogenesis,GO:0000902,COVID-19,MESH:D000086382,Melatonin,,3
response to environmental enrichment,GO:0090648,COVID-19,MESH:D000086382,Melatonin,,3
fatty acid homeostasis,GO:0055089,COVID-19,MESH:D000086382,Choline,,2
lipid homeostasis,GO:0055088,COVID-19,MESH:D000086382,Choline,,2
cadmium ion homeostasis,GO:0055073,COVID-19,MESH:D000086382,Zinc,,3
copper ion homeostasis,GO:0055070,COVID-19,MESH:D000086382,Zinc Sulfate,,2
metal ion homeostasis,GO:0055065,COVID-19,MESH:D000086382,Zinc,,5
"negative regulation of mitochondrial electron transport, NADH to ubiquinone",GO:1902957,COVID-19,MESH:D000086382,Choline,,2
plasmacytoid dendritic cell activation,GO:0002270,COVID-19,MESH:D000086382,chloroquine diphosphate,,6
TORC1 signaling,GO:0038202,COVID-19,MESH:D000086382,Sirolimus,,2
negative regulation of intracellular calcium activated chloride channel activity,GO:1902939,COVID-19,MESH:D000086382,Nifedipine,,2
negative regulation of autophagosome assembly,GO:1902902,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of canonical Wnt signaling pathway,GO:0090263,COVID-19,MESH:D000086382,Losartan,,2
positive regulation of hippocampal neuron apoptotic process,GO:0110090,COVID-19,MESH:D000086382,Melatonin,,3
immunoglobulin production involved in immunoglobulin-mediated immune response,GO:0002381,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,3
"proton-transporting ATPase activity, rotational mechanism",GO:0046961,COVID-19,MESH:D000086382,Zinc,,3
negative regulation of animal organ morphogenesis,GO:0110111,COVID-19,MESH:D000086382,Tenofovir,,2
histone H3-R17 methylation,GO:0034971,COVID-19,MESH:D000086382,Ribavirin,,7
histone arginine methylation,GO:0034969,COVID-19,MESH:D000086382,Ribavirin,,7
cell dedifferentiation,GO:0043697,COVID-19,MESH:D000086382,Nifedipine,,2
hypersensitivity,GO:0002524,COVID-19,MESH:D000086382,Melatonin,,3
attachment of spindle microtubules to kinetochore,GO:0008608,COVID-19,MESH:D000086382,Melatonin,,3
thiazole metabolic process,GO:0052838,COVID-19,MESH:D000086382,Ribavirin,,7
positive regulation of response to oxidative stress,GO:1902884,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of response to oxidative stress,GO:1902883,COVID-19,MESH:D000086382,Melatonin,,3
negative regulation of cell growth involved in cardiac muscle cell development,GO:0061052,COVID-19,MESH:D000086382,Ivermectin,,3
extracellular matrix assembly,GO:0085029,COVID-19,MESH:D000086382,Losartan,,2
negative regulation of cholesterol storage,GO:0010887,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of triglyceride biosynthetic process,GO:0010867,COVID-19,MESH:D000086382,Sirolimus,,2
positive regulation of T cell cytokine production,GO:0002726,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
retina layer formation,GO:0010842,COVID-19,MESH:D000086382,nafamostat,,2
negative regulation of dendritic cell cytokine production,GO:0002731,COVID-19,MESH:D000086382,Melatonin,,3
cysteine-type endopeptidase activity involved in apoptotic process,GO:0097153,COVID-19,MESH:D000086382,Chloroquine,,7
positive regulation of adaptive immune response,GO:0002821,COVID-19,MESH:D000086382,Active Hexose Correlated Compound,,2
siRNA-independent facultative heterochromatin formation,GO:1902794,COVID-19,MESH:D000086382,Sirolimus,,2
regulation of skeletal muscle contraction by regulation of release of sequestered calcium ion,GO:0014809,COVID-19,MESH:D000086382,Nifedipine,,2
histone H4-K20 trimethylation,GO:0034773,COVID-19,MESH:D000086382,Zinc,,3
positive regulation of monoatomic ion transmembrane transport,GO:0034767,COVID-19,MESH:D000086382,Choline,,2
vascular associated smooth muscle contraction,GO:0014829,COVID-19,MESH:D000086382,Dactinomycin,,2
positive regulation of inflammatory response to antigenic stimulus,GO:0002863,COVID-19,MESH:D000086382,Ivermectin,,3
regulation of lysosomal membrane permeability,GO:0097213,COVID-19,MESH:D000086382,Chloroquine,,6
regulation of humoral immune response mediated by circulating immunoglobulin,GO:0002923,COVID-19,MESH:D000086382,Ribavirin,,7
response to ischemia,GO:0002931,COVID-19,MESH:D000086382,Losartan,,2
