Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
DYNLT1,6993,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.05,3
EBF2,64641,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.05,3
FAF2,23197,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.05,3
GOLGA2,2801,COVID-19,MESH:D000086382,,Chloroquine|Ivermectin,6.05,7
IGSF8,93185,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.05,3
RAB12,201475,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.05,3
WDR45B,56270,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.05,3
FOXO3,2309,COVID-19,MESH:D000086382,,remdesivir|Sirolimus|Zinc Sulfate,6.04,14
MFAP3L,9848,COVID-19,MESH:D000086382,,Mercaptopurine|Zinc,6.04,3
MOB4,25843,COVID-19,MESH:D000086382,,Choline|Zinc,6.04,3
PAX8,7849,COVID-19,MESH:D000086382,,perfluorobutyric acid|Sirolimus,6.04,2
PYCARD,29108,COVID-19,MESH:D000086382,,Choline|Melatonin|Sirolimus,6.04,3
RASIP1,54922,COVID-19,MESH:D000086382,,Choline|Zinc,6.04,3
SAMD8,142891,COVID-19,MESH:D000086382,,Choline|Zinc,6.04,3
SLC14A2,8170,COVID-19,MESH:D000086382,,Chloroquine|Zinc,6.04,7
SOX3,6658,COVID-19,MESH:D000086382,,Choline|Zinc,6.04,3
VPS33B,26276,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,6.04,3
KLK8,11202,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,6.03,3
KRT80,144501,COVID-19,MESH:D000086382,,Dactinomycin|Zinc Sulfate,6.03,2
MPHOSPH6,10200,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,6.03,2
NOS1,4842,COVID-19,MESH:D000086382,,Betulinic Acid|Losartan|Melatonin,6.03,4
PHGDH,26227,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc,6.03,5
S100A9,6280,COVID-19,MESH:D000086382,,Choline|Zinc|Zinc Sulfate,6.03,4
SAE1,10055,COVID-19,MESH:D000086382,,Emodin|Ivermectin,6.03,3
SRSF9,8683,COVID-19,MESH:D000086382,,Ivermectin|Zinc,6.03,4
BMP8B,656,COVID-19,MESH:D000086382,,Choline|Zinc,6.02,3
CHMP2A,27243,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.02,3
FEM1C,56929,COVID-19,MESH:D000086382,,Choline|Zinc,6.02,3
LRSAM1,90678,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.02,3
M6PR,4074,COVID-19,MESH:D000086382,,Chloroquine|Ivermectin,6.02,7
MIR150,406942,COVID-19,MESH:D000086382,,Choline|Zinc,6.02,3
MIR99A,407055,COVID-19,MESH:D000086382,,Choline|Zinc,6.02,3
PPP1R3G,648791,COVID-19,MESH:D000086382,,Choline|Zinc,6.02,3
RRP1,8568,COVID-19,MESH:D000086382,,Choline|Ivermectin,6.02,3
SYNGR3,9143,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,6.02,3
TSR1,55720,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,6.02,3
WNT2B,7482,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,6.02,2
BCAS2,10286,COVID-19,MESH:D000086382,,Ivermectin|Zinc,6.01,4
CDC20,991,COVID-19,MESH:D000086382,,Choline|Sirolimus|Zinc,6.01,4
CLPTM1L,81037,COVID-19,MESH:D000086382,,Ivermectin|Zinc,6.01,4
MYDGF,56005,COVID-19,MESH:D000086382,,Ivermectin|Zinc,6.01,4
COL2A1,1280,COVID-19,MESH:D000086382,,Choline|Mercaptopurine|Sirolimus,6.00,2
POLD2,5425,COVID-19,MESH:D000086382,,Ivermectin|Sirolimus,6.00,3
S100A16,140576,COVID-19,MESH:D000086382,,Ivermectin|Mercaptopurine,6.00,3
SLCO2B1,11309,COVID-19,MESH:D000086382,,4-(4-guanidinobenzoyloxy)phenylacetic acid|Mefloquine,6.00,2
CANT1,124583,COVID-19,MESH:D000086382,,Choline|Zinc,5.99,3
CNOT7,29883,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.99,3
FABP1,2168,COVID-19,MESH:D000086382,,Choline|perfluorobutyric acid|Zinc,5.99,4
GSPT2,23708,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.99,3
ID2,3398,COVID-19,MESH:D000086382,,baricitinib|Choline|Zinc,5.99,5
MAML1,9794,COVID-19,MESH:D000086382,,Choline|Zinc,5.99,3
MYOM2,9172,COVID-19,MESH:D000086382,,Chloroquine|Choline,5.99,6
SNW1,22938,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.99,3
WAS,7454,COVID-19,MESH:D000086382,,Choline|Zinc,5.99,3
CD28,940,COVID-19,MESH:D000086382,,Dactinomycin|Mercaptopurine,5.98,1
DCAF8,50717,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.98,2
HPS5,11234,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.98,4
IFNA1,3439,COVID-19,MESH:D000086382,,Dactinomycin|Zinc,5.98,3
LECT2,3950,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.98,2
MAS1,4142,COVID-19,MESH:D000086382,,Choline|Losartan,5.98,2
POFUT2,23275,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.98,4
SUPV3L1,6832,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.98,4
WDR46,9277,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.98,3
BSPRY,54836,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,5.97,2
MOG,4340,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,5.97,3
XCL1,6375,COVID-19,MESH:D000086382,,Chloroquine|Choline,5.97,6
ARHGAP31,57514,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.96,2
BATF,10538,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.96,2
EXOC8,149371,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.96,3
IDI1,3422,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc,5.96,5
IFT57,55081,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.96,2
MIB1,57534,COVID-19,MESH:D000086382,,Choline|Zinc,5.96,3
PTPN23,25930,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.96,3
PTS,5805,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.96,3
SSH2,85464,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.96,3
DDX23,9416,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,5.95,3
ITCH,83737,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.95,4
KRAS,3845,COVID-19,MESH:D000086382,,Dactinomycin|Ivermectin|Losartan,5.95,4
MED23,9439,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.95,4
NUDT16L1,84309,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.95,4
RBM22,55696,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.95,4
RHO,6010,COVID-19,MESH:D000086382,,Mercaptopurine|Zinc,5.95,3
STX6,10228,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.95,4
TM9SF2,9375,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.95,4
TMEM100,55273,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,5.95,2
ARCN1,372,COVID-19,MESH:D000086382,,Chloroquine|Ivermectin,5.94,7
IGFBP1,3484,COVID-19,MESH:D000086382,,Choline|Sirolimus|Zinc,5.94,4
MIR192,406967,COVID-19,MESH:D000086382,,Choline|Zinc,5.94,3
MIR200B,406984,COVID-19,MESH:D000086382,,Choline|Zinc,5.94,3
ZDHHC14,79683,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.94,3
CD84,8832,COVID-19,MESH:D000086382,,Choline|Sirolimus,5.93,2
COQ9,57017,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
DDX50,79009,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
DYM,54808,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
MAGT1,84061,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.93,4
MAP1S,55201,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
MINK1,50488,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
MMGT1,93380,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
NEDD8,4738,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.93,4
PYCR2,29920,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.93,4
RAB11FIP5,26056,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
RANBP6,26953,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.93,3
SOX17,64321,COVID-19,MESH:D000086382,,Dactinomycin|remdesivir,5.93,13
JAK3,3718,COVID-19,MESH:D000086382,,baricitinib|Zinc,5.92,4
ARL8A,127829,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.91,3
CFDP1,10428,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.91,3
CHMP4B,128866,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.91,3
DCAF7,10238,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.91,3
MAGEE1,57692,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.91,3
NUDT19,390916,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.91,3
PXK,54899,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.91,3
SFMBT2,57713,COVID-19,MESH:D000086382,,Acetazolamide|Choline,5.91,2
CYB5B,80777,COVID-19,MESH:D000086382,,Ivermectin|N(4)-hydroxycytidine,5.90,3
HLA-C,3107,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,5.90,3
NUFIP2,57532,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.90,4
PPHLN1,51535,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.90,4
SATB1,6304,COVID-19,MESH:D000086382,,Acetazolamide|Mercaptopurine,5.90,2
CLUH,23277,COVID-19,MESH:D000086382,,Ivermectin|Sirolimus,5.89,3
HSP90B1,7184,COVID-19,MESH:D000086382,,Dactinomycin|Ivermectin|Zinc,5.89,5
RORB,6096,COVID-19,MESH:D000086382,,Choline|Zinc,5.89,3
SENP6,26054,COVID-19,MESH:D000086382,,Chloroquine|Choline,5.89,6
SUSD2,56241,COVID-19,MESH:D000086382,,Choline|perfluorobutyric acid,5.89,2
TMC4,147798,COVID-19,MESH:D000086382,,Choline|Zinc,5.89,3
TMEM14C,51522,COVID-19,MESH:D000086382,,Ivermectin|Sirolimus,5.89,3
TRHDE,29953,COVID-19,MESH:D000086382,,Choline|Zinc,5.89,3
ACTR1A,10121,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
CEP170,9859,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
CGGBP1,8545,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
CRYZL1,9946,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
EXOC7,23265,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
SAFB2,9667,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
TAGLN3,29114,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,5.88,3
UBE2G1,7326,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.88,3
DPP8,54878,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.87,4
GMPPA,29926,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.87,4
JCHAIN,3512,COVID-19,MESH:D000086382,,Hydroxychloroquine|Zinc,5.87,7
PLVAP,83483,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.87,2
SAP30,8819,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.87,4
SDF4,51150,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.87,4
STRAP,11171,COVID-19,MESH:D000086382,,Chloroquine|Ivermectin,5.87,7
TMEM39A,55254,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.87,2
DNPEP,23549,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
JMY,133746,COVID-19,MESH:D000086382,,Sirolimus|Zinc,5.86,3
KCNG3,170850,COVID-19,MESH:D000086382,,Choline|Zinc,5.86,3
KMT2B,9757,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
MINPP1,9562,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
NFYC,4802,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
PEG3,5178,COVID-19,MESH:D000086382,,Acetazolamide|Zinc,5.86,3
PHPT1,29085,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
PRMT3,10196,COVID-19,MESH:D000086382,,Ivermectin|Ribavirin,5.86,8
RAB5B,5869,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
RLIM,51132,COVID-19,MESH:D000086382,,Choline|Zinc,5.86,3
SCYL1,57410,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
TEAD1,7003,COVID-19,MESH:D000086382,,Choline|Sirolimus,5.86,2
UBE2A,7319,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.86,3
ADAMTSL2,9719,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.85,2
MNT,4335,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.85,4
PALM,5064,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.85,2
PTPN22,26191,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.85,3
RGS11,8786,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.85,4
SCAMP5,192683,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,5.85,2
SRPRA,6734,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.85,4
SULT4A1,25830,COVID-19,MESH:D000086382,,Choline|Zinc,5.84,3
B3GALT6,126792,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
LRRC1,55227,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
MAVS,57506,COVID-19,MESH:D000086382,,Hydroxychloroquine|Ivermectin,5.83,7
NAPA,8775,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
PFDN4,5203,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
TMEM165,55858,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
UBXN1,51035,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
XRN1,54464,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
YLPM1,56252,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.83,3
CA9,768,COVID-19,MESH:D000086382,,Acetazolamide|Betulinic Acid,5.82,2
FAU,2197,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.82,4
ITM2C,81618,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.82,4
TOM1,10043,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.82,4
ACSL1,2180,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc,5.81,5
ATE1,11101,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
CA1,759,COVID-19,MESH:D000086382,,Acetazolamide|Zinc,5.81,3
FRS2,10818,COVID-19,MESH:D000086382,,Choline|Zinc,5.81,3
GLT8D1,55830,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
HIF1AN,55662,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
IARS2,55699,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
LRATD1,151354,COVID-19,MESH:D000086382,,Choline|Zinc,5.81,3
MIR30A,407029,COVID-19,MESH:D000086382,,Choline|Zinc,5.81,3
PPP6R3,55291,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
TSPAN14,81619,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
VPS33A,65082,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.81,3
BLMH,642,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
CBX3,11335,COVID-19,MESH:D000086382,,Acetazolamide|Ivermectin,5.80,3
DCTN1,1639,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
GNPAT,8443,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
GTF2A1,2957,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
HACD3,51495,COVID-19,MESH:D000086382,,Emodin|Ivermectin,5.80,3
IBSP,3381,COVID-19,MESH:D000086382,,Sirolimus|Zinc,5.80,3
ITPA,3704,COVID-19,MESH:D000086382,,Ivermectin|Ribavirin,5.80,8
MGMT,4255,COVID-19,MESH:D000086382,,Emodin|Ivermectin|Zinc,5.80,5
MRE11,4361,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
MRPS17,51373,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
OXSR1,9943,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
PSMD9,5715,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
RAB21,23011,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
SEC24A,10802,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
SF3B1,23451,COVID-19,MESH:D000086382,,Acetazolamide|Ivermectin,5.80,3
SLC33A1,9197,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.80,4
CYRIA,81553,COVID-19,MESH:D000086382,,Choline|Zinc,5.79,3
MUC2,4583,COVID-19,MESH:D000086382,,Active Hexose Correlated Compound|Ivermectin,5.79,3
NDUFB10,4716,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,5.79,3
SLC39A1,27173,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.79,3
TBX1,6899,COVID-19,MESH:D000086382,,Choline|Zinc,5.79,3
COMP,1311,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.78,4
CORO6,84940,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,5.78,2
DDX56,54606,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.78,3
GNRHR,2798,COVID-19,MESH:D000086382,,Melatonin|Zinc,5.78,4
LRRC8A,56262,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.78,4
RABEP1,9135,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.78,4
SLC35E1,79939,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.78,3
STX16,8675,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.78,4
STXBP5,134957,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.78,3
UBE2M,9040,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.78,4
UBR1,197131,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.78,3
APPL1,26060,COVID-19,MESH:D000086382,,Chloroquine|Ivermectin,5.77,7
ASAH2,56624,COVID-19,MESH:D000086382,,Choline|Zinc,5.77,3
FNIP1,96459,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.77,3
IFNA2,3440,COVID-19,MESH:D000086382,,Emodin|Ribavirin,5.77,7
ING1,3621,COVID-19,MESH:D000086382,,Choline|Zinc,5.77,3
SCG5,6447,COVID-19,MESH:D000086382,,Mercaptopurine|Zinc Sulfate,5.77,2
SFTPC,6440,COVID-19,MESH:D000086382,,Mercaptopurine|Zinc,5.77,3
TBL1X,6907,COVID-19,MESH:D000086382,,Ivermectin|Zinc Sulfate,5.77,3
AGO1,26523,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
DENR,8562,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
EIF3F,8665,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
GOLPH3,64083,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
MTRR,4552,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
PDAP1,11333,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
PDGFD,80310,COVID-19,MESH:D000086382,,Choline|Losartan,5.76,2
PES1,23481,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
SCFD1,23256,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.76,3
SLC38A5,92745,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,5.76,2
UBE2L3,7332,COVID-19,MESH:D000086382,,Dactinomycin|Ivermectin,5.76,3
ARFGEF2,10564,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.75,4
CLASP1,23332,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.75,4
CLIC6,54102,COVID-19,MESH:D000086382,,Choline|Zinc,5.75,3
FOXD1,2297,COVID-19,MESH:D000086382,,Choline|Zinc,5.75,3
GPM6B,2824,COVID-19,MESH:D000086382,,chloroquine diphosphate|Choline,5.75,6
HBS1L,10767,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.75,4
MIR221,407006,COVID-19,MESH:D000086382,,Choline|Zinc,5.75,3
MMP3,4314,COVID-19,MESH:D000086382,,Azithromycin|Choline|Zinc,5.75,4
SIL1,64374,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.75,4
TMEM117,84216,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.75,3
TOR1B,27348,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.75,4
TRIAP1,51499,COVID-19,MESH:D000086382,,Choline|Zinc,5.75,3
WDR72,256764,COVID-19,MESH:D000086382,,Choline|Zinc,5.75,3
WNT10B,7480,COVID-19,MESH:D000086382,,Mercaptopurine|Zinc,5.75,3
CCL1,6346,COVID-19,MESH:D000086382,,Chloroquine|Zinc,5.74,7
CELA1,1990,COVID-19,MESH:D000086382,,Choline|Mercaptopurine,5.74,2
GZMBL1,502004,COVID-19,MESH:D000086382,,Mercaptopurine,5.74,1
TAOK3,51347,COVID-19,MESH:D000086382,,Emodin|Ivermectin,5.74,3
TYRP1,7306,COVID-19,MESH:D000086382,,Emodin|Zinc,5.74,3
ATP6V1E1,529,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
CTH,1491,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc,5.73,5
CUL4B,8450,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
GTPBP1,9567,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
IWS1,55677,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
L2HGDH,79944,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
MEOX2,4223,COVID-19,MESH:D000086382,,Mercaptopurine|Zinc,5.73,3
NELFA,7469,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
PPP1R9B,84687,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
PRF1,5551,COVID-19,MESH:D000086382,,Mercaptopurine|Sirolimus,5.73,1
PRSS1,5644,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
RAB15,376267,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
RMND5A,64795,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
RPL38,6169,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
SCD,6319,COVID-19,MESH:D000086382,,perfluorobutyric acid|Sirolimus|Zinc,5.73,4
STK26,51765,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
TRIM29,23650,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
TTR,7276,COVID-19,MESH:D000086382,,Ivermectin|perfluorobutyric acid|Zinc,5.73,5
VPS26A,9559,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
WAPL,23063,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.73,4
YIPF5,81555,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.73,3
ANXA1,301,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc,5.72,5
EHBP1L1,254102,COVID-19,MESH:D000086382,,Choline|Zinc,5.72,3
FADS3,3995,COVID-19,MESH:D000086382,,Choline|Dactinomycin,5.72,2
KITL,17311,COVID-19,MESH:D000086382,,Choline|Sirolimus,5.72,2
MIR200C,406985,COVID-19,MESH:D000086382,,Choline|Zinc,5.72,3
MIR22,407004,COVID-19,MESH:D000086382,,Choline|Dactinomycin,5.72,2
CLINT1,9685,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
CYP2A4,13086,COVID-19,MESH:D000086382,,Ivermectin|Nifedipine,5.71,3
DDX20,11218,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
GXYLT1,283464,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
MTA2,9219,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.71,4
PCNP,57092,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
PIP4K2B,8396,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
POLR1A,25885,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
RANBP2,5903,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
RIC8A,60626,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
SLCO1A2,6579,COVID-19,MESH:D000086382,,Chloroquine|Mefloquine,5.71,6
STT3B,201595,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.71,3
ASIC5,51802,COVID-19,MESH:D000086382,,nafamostat,5.70,1
ERBB2,2064,COVID-19,MESH:D000086382,,Chloroquine|Choline|Mercaptopurine,5.70,7
FOXJ1,2302,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.70,2
GJC1,10052,COVID-19,MESH:D000086382,,Chloroquine|Choline,5.70,6
PHC3,80012,COVID-19,MESH:D000086382,,Choline|Zinc,5.70,3
SSB,6741,COVID-19,MESH:D000086382,,Chloroquine|Ivermectin,5.70,7
ALOX5,240,COVID-19,MESH:D000086382,,Choline|Losartan|Zinc,5.69,4
CD2BP2,10421,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.69,3
CXCR4,7852,COVID-19,MESH:D000086382,,chloroquine diphosphate|Choline|Zinc,5.69,8
DIAPH1,1729,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.69,4
ENO1,2023,COVID-19,MESH:D000086382,,Choline|Ivermectin|Zinc,5.69,5
FKBP2,2286,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.69,4
GABPA,2551,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.69,4
MIR146A,406938,COVID-19,MESH:D000086382,,Sirolimus|Zinc,5.69,3
MPC2,25874,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.69,3
NCOA5,57727,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.69,3
NUTF2,10204,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.69,3
OGN,4969,COVID-19,MESH:D000086382,,Mercaptopurine|Sirolimus,5.69,1
S100A3,6274,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.69,4
SAP30BP,29115,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.69,3
SCN1A,6323,COVID-19,MESH:D000086382,,Zinc|Zinc Sulfate,5.69,3
SUGT1,10910,COVID-19,MESH:D000086382,,Ivermectin|Zinc,5.69,4
TUBGCP3,10426,COVID-19,MESH:D000086382,,Choline|Ivermectin,5.69,3
CDH4,1002,COVID-19,MESH:D000086382,,Choline|Zinc Sulfate,5.68,2
